Day,Wind Speed
1,0.683422914105446
2,0.6932019932005831
3,0.697602069620485
4,0.6939474872136661
5,0.7058985744999653
6,0.7063907059689949
7,0.715359424632172
8,0.7068613236047828
9,0.7036454365972464
10,0.6984524466782912
11,0.7081442914487087
12,0.6955367294766431
13,0.7011410728523818
14,0.7017037109949915
15,0.6958659652833982
16,0.7042269524850848
17,0.7086118098542404
18,0.7050236939424562
19,0.6949987033875745
20,0.6898650268463555
21,0.6852388115250505
22,0.6898590165980514
23,0.6873129761777819
24,0.68056050015967
25,0.6770455846363567
26,0.6639413781828437
27,0.6607564453630604
28,0.6729829960196555
29,0.7023083624418242
30,0.6958367075364228
31,0.7003487128683085
